"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 11 10:42:08 GET 2025","Wed Jun 11 10:42:10 GET 2025","2104","","LoginUserTest","","LoginUserTest","loginCorrectUser","loginCorrectUser",""
"passed","Wed Jun 11 10:43:19 GET 2025","Wed Jun 11 10:43:19 GET 2025","481","","GetIngredientsTest","","GetIngredientsTest","getAllIngredients","Получение списка ингредиентов",""
"passed","Wed Jun 11 10:42:25 GET 2025","Wed Jun 11 10:42:27 GET 2025","2019","","UpdateUserTest","","UpdateUserTest","updateLoginUser[1 : update email]","updateLoginUser[1 : update email]",""
"passed","Wed Jun 11 10:43:11 GET 2025","Wed Jun 11 10:43:14 GET 2025","2676","","CreateValidUserTest","","CreateValidUserTest","registerUserWithExistingEmail","Повторная регистрация уже имеющегося пользователя",""
"passed","Wed Jun 11 10:42:46 GET 2025","Wed Jun 11 10:42:48 GET 2025","1977","","UpdateUserTest","","UpdateUserTest","updateLoginUser[6 : update name without another fields]","updateLoginUser[6 : update name without another fields]",""
"passed","Wed Jun 11 10:42:52 GET 2025","Wed Jun 11 10:42:55 GET 2025","2144","","UpdateUserTest","","UpdateUserTest","updateWithoutLogin[7 : update email + password without name]","updateWithoutLogin[7 : update email + password without name]",""
"passed","Wed Jun 11 10:42:30 GET 2025","Wed Jun 11 10:42:32 GET 2025","2102","","UpdateUserTest","","UpdateUserTest","updateLoginUser[2 : update password]","updateLoginUser[2 : update password]",""
"passed","Wed Jun 11 10:42:23 GET 2025","Wed Jun 11 10:42:25 GET 2025","2066","","UpdateUserTest","","UpdateUserTest","updateWithoutLogin[0 : update all fields]","updateWithoutLogin[0 : update all fields]",""
"passed","Wed Jun 11 10:43:14 GET 2025","Wed Jun 11 10:43:16 GET 2025","2186","","CreateValidUserTest","","CreateValidUserTest","registerUniqueUser","Регистрация валидного пользователя",""
"passed","Wed Jun 11 10:42:59 GET 2025","Wed Jun 11 10:43:01 GET 2025","1969","","UpdateUserTest","","UpdateUserTest","updateLoginUser[9 : update email + name without password]","updateLoginUser[9 : update email + name without password]",""
"passed","Wed Jun 11 10:42:19 GET 2025","Wed Jun 11 10:42:21 GET 2025","2057","","LoginUserTest","","LoginUserTest","loginWithEmailNull","loginWithEmailNull",""
"passed","Wed Jun 11 10:42:21 GET 2025","Wed Jun 11 10:42:23 GET 2025","2155","","UpdateUserTest","","UpdateUserTest","updateLoginUser[0 : update all fields]","updateLoginUser[0 : update all fields]",""
"passed","Wed Jun 11 10:43:20 GET 2025","Wed Jun 11 10:43:21 GET 2025","454","","CreateOrderWithoutLoginTest","","CreateOrderWithoutLoginTest","createOrderWithoutIngredients","Создание заказа без авторизации, без ингредиентов",""
"passed","Wed Jun 11 10:42:13 GET 2025","Wed Jun 11 10:42:15 GET 2025","1966","","LoginUserTest","","LoginUserTest","loginWithoutPassword","loginWithoutPassword",""
"passed","Wed Jun 11 10:42:17 GET 2025","Wed Jun 11 10:42:19 GET 2025","1915","","LoginUserTest","","LoginUserTest","loginWithEmailIncorrect","loginWithEmailIncorrect",""
"passed","Wed Jun 11 10:42:27 GET 2025","Wed Jun 11 10:42:30 GET 2025","2686","","UpdateUserTest","","UpdateUserTest","updateWithoutLogin[1 : update email]","updateWithoutLogin[1 : update email]",""
"passed","Wed Jun 11 10:42:34 GET 2025","Wed Jun 11 10:42:36 GET 2025","2078","","UpdateUserTest","","UpdateUserTest","updateLoginUser[3 : update name]","updateLoginUser[3 : update name]",""
"passed","Wed Jun 11 10:43:19 GET 2025","Wed Jun 11 10:43:20 GET 2025","460","","CreateOrderWithoutLoginTest","","CreateOrderWithoutLoginTest","createOrderWithIncorrectIngredients","Создание заказа ьез авторизации, с некорректным хэшем ингредиентов",""
"passed","Wed Jun 11 10:43:09 GET 2025","Wed Jun 11 10:43:11 GET 2025","2275","","CreateOrderWithLoginTest","","CreateOrderWithLoginTest","createOrderWithoutIngredients","Создание заказа с авторизацией, без ингредиентов",""
"passed","Wed Jun 11 10:42:06 GET 2025","Wed Jun 11 10:42:08 GET 2025","1952","","LoginUserTest","","LoginUserTest","loginWithoutEmail","loginWithoutEmail",""
"passed","Wed Jun 11 10:43:17 GET 2025","Wed Jun 11 10:43:18 GET 2025","443","","CreateInvalidUserTest","","CreateInvalidUserTest","registerUserWithoutEmail","registerUserWithoutEmail",""
"passed","Wed Jun 11 10:42:38 GET 2025","Wed Jun 11 10:42:40 GET 2025","1914","","UpdateUserTest","","UpdateUserTest","updateLoginUser[4 : update email without another fields]","updateLoginUser[4 : update email without another fields]",""
"passed","Wed Jun 11 10:41:53 GET 2025","Wed Jun 11 10:41:57 GET 2025","3787","","GetOrderForUserTest","","GetOrderForUserTest","getOrdersWithoutAuth","getOrdersWithoutAuth",""
"passed","Wed Jun 11 10:42:55 GET 2025","Wed Jun 11 10:42:57 GET 2025","2056","","UpdateUserTest","","UpdateUserTest","updateLoginUser[8 : update password + name without email]","updateLoginUser[8 : update password + name without email]",""
"passed","Wed Jun 11 10:42:36 GET 2025","Wed Jun 11 10:42:38 GET 2025","2121","","UpdateUserTest","","UpdateUserTest","updateWithoutLogin[3 : update name]","updateWithoutLogin[3 : update name]",""
"passed","Wed Jun 11 10:42:44 GET 2025","Wed Jun 11 10:42:46 GET 2025","1936","","UpdateUserTest","","UpdateUserTest","updateWithoutLogin[5 : update password without another fields]","updateWithoutLogin[5 : update password without another fields]",""
"passed","Wed Jun 11 10:43:18 GET 2025","Wed Jun 11 10:43:19 GET 2025","429","","CreateInvalidUserTest","","CreateInvalidUserTest","registerUserWithNameNull","registerUserWithNameNull",""
"passed","Wed Jun 11 10:43:17 GET 2025","Wed Jun 11 10:43:17 GET 2025","474","","CreateInvalidUserTest","","CreateInvalidUserTest","registerUserWithoutName","registerUserWithoutName",""
"passed","Wed Jun 11 10:43:03 GET 2025","Wed Jun 11 10:43:05 GET 2025","2094","","CreateOrderWithLoginTest","","CreateOrderWithLoginTest","createOrderWithIncorrectIngredients","Создание заказа с авторизацией, с некорректным хэшем ингредиентов",""
"passed","Wed Jun 11 10:43:16 GET 2025","Wed Jun 11 10:43:17 GET 2025","419","","CreateInvalidUserTest","","CreateInvalidUserTest","registerUserWithEmailNull","registerUserWithEmailNull",""
"passed","Wed Jun 11 10:42:04 GET 2025","Wed Jun 11 10:42:06 GET 2025","1973","","LoginUserTest","","LoginUserTest","loginWithPasswordNull","loginWithPasswordNull",""
"passed","Wed Jun 11 10:42:10 GET 2025","Wed Jun 11 10:42:13 GET 2025","2350","","LoginUserTest","","LoginUserTest","loginWithoutName","loginWithoutName",""
"passed","Wed Jun 11 10:43:20 GET 2025","Wed Jun 11 10:43:20 GET 2025","460","","CreateOrderWithoutLoginTest","","CreateOrderWithoutLoginTest","createCorrectOrderWithoutLogin","Создание заказа без авторизации",""
"passed","Wed Jun 11 10:43:01 GET 2025","Wed Jun 11 10:43:03 GET 2025","1933","","UpdateUserTest","","UpdateUserTest","updateWithoutLogin[9 : update email + name without password]","updateWithoutLogin[9 : update email + name without password]",""
"passed","Wed Jun 11 10:41:57 GET 2025","Wed Jun 11 10:42:02 GET 2025","5468","","GetOrderForUserTest","","GetOrderForUserTest","getOrdersWithAuth","getOrdersWithAuth",""
"passed","Wed Jun 11 10:42:42 GET 2025","Wed Jun 11 10:42:44 GET 2025","2118","","UpdateUserTest","","UpdateUserTest","updateLoginUser[5 : update password without another fields]","updateLoginUser[5 : update password without another fields]",""
"passed","Wed Jun 11 10:42:32 GET 2025","Wed Jun 11 10:42:34 GET 2025","2342","","UpdateUserTest","","UpdateUserTest","updateWithoutLogin[2 : update password]","updateWithoutLogin[2 : update password]",""
"passed","Wed Jun 11 10:42:40 GET 2025","Wed Jun 11 10:42:42 GET 2025","1956","","UpdateUserTest","","UpdateUserTest","updateWithoutLogin[4 : update email without another fields]","updateWithoutLogin[4 : update email without another fields]",""
"passed","Wed Jun 11 10:42:15 GET 2025","Wed Jun 11 10:42:17 GET 2025","2140","","LoginUserTest","","LoginUserTest","loginWithNameNull","loginWithNameNull",""
"passed","Wed Jun 11 10:42:48 GET 2025","Wed Jun 11 10:42:50 GET 2025","1977","","UpdateUserTest","","UpdateUserTest","updateWithoutLogin[6 : update name without another fields]","updateWithoutLogin[6 : update name without another fields]",""
"passed","Wed Jun 11 10:43:05 GET 2025","Wed Jun 11 10:43:09 GET 2025","4378","","CreateOrderWithLoginTest","","CreateOrderWithLoginTest","createCorrectOrderWithLogin","Создание заказа с авторизацией",""
"passed","Wed Jun 11 10:43:18 GET 2025","Wed Jun 11 10:43:18 GET 2025","457","","CreateInvalidUserTest","","CreateInvalidUserTest","registerUserWithPasswordNull","registerUserWithPasswordNull",""
"passed","Wed Jun 11 10:42:02 GET 2025","Wed Jun 11 10:42:04 GET 2025","2046","","LoginUserTest","","LoginUserTest","loginWithPasswordIncorrect","loginWithPasswordIncorrect",""
"passed","Wed Jun 11 10:42:57 GET 2025","Wed Jun 11 10:42:59 GET 2025","1992","","UpdateUserTest","","UpdateUserTest","updateWithoutLogin[8 : update password + name without email]","updateWithoutLogin[8 : update password + name without email]",""
"passed","Wed Jun 11 10:43:18 GET 2025","Wed Jun 11 10:43:18 GET 2025","446","","CreateInvalidUserTest","","CreateInvalidUserTest","registerUserWithoutPassword","registerUserWithoutPassword",""
"passed","Wed Jun 11 10:42:50 GET 2025","Wed Jun 11 10:42:52 GET 2025","2209","","UpdateUserTest","","UpdateUserTest","updateLoginUser[7 : update email + password without name]","updateLoginUser[7 : update email + password without name]",""
